Vernacular name	Scientific name	Status in Finland	Red List category in Finland	Regulatory Status	Synonyms
kartiosukkulakotilo	Peringia ulvae	Stable population	LC (2019)		Hydrobia ulvae (Pennant, 1777)
pulskasukkulakotilo	Ecrobia ventrosa	Stable population	LC (2019)		Hydrobia ventrosa (Montagu, 1803)
hoikkasarvikotilo	Bithynia tentaculata	Stable population	LC (2019)		
porraskotilo	Bithynia leachii	Stable population	DD (2019)		
New Zealand mudsnail	Potamopyrgus antipodarum	Stable population; Anthropogenic	NA (2019)	Other invasive species; Other invasive alien species of concern (not included on the national or EU list)	Hydrobia jenkinsi; Paludestrina jenkinsi; Potamopyrgus jenkinsi
tylppäemokotilo	Viviparus viviparus	Stable population	DD (2019)		Viviparus fasciatus (Müller, 1774)
kärkiemokotilo	Viviparus contectus	Stable population	LC (2019)		
leväkotilo	Theodoxus fluviatilis	Stable population	LC (2019)		
soukkojokisimpukka	Unio pictorum	Stable population	LC (2019)		
sysijokisimpukka	Unio tumidus	Stable population	LC (2019)		
vuollejokisimpukka	Unio crassus	Stable population	VU (2019)	Threatened species (NCD 2023/1066, Appendix 6); Animal species that are protected in the whole country(NCD 2023/1066, Appendix 1); Species requiring strict protection within the European Union (NVF 2023/1066, Appendix 7); EU Habitats Directive Annex II; EU Habitats Directive Annex IV; EU Habitats Directive Annex II, Finland's Natura species; OUTDATED Species to be protected urgently (Finnish Environment Institute 2010-2011); Safeguarding Endangered Species in Forestry – Lajiturva Project 2019–2021; Species used in the automatic procedure for forest use notifications (MKI-OHKE 2023); OUTDATED Threatened species (NCD 1997/160, Appendix 4 2013/471)	
Duck mussel	Anodonta anatina	Stable population	LC (2019)		Anodonta piscinalis Nilsson, 1823
Swan mussel	Anodonta cygnea	Stable population	LC (2019)		
Compressed river mussel	Pseudanodonta complanata	Stable population	LC (2019)		
Freshwater pearl mussel	Margaritifera margaritifera	Stable population	EN (2019)	Threatened species (NCD 2023/1066, Appendix 6); Species under strict protection (NCD 2023/1066, Appendix 6); Animal species that are protected in the whole country(NCD 2023/1066, Appendix 1); EU Habitats Directive Annex II; EU Habitats Directive Annex V; EU Habitats Directive Annex II, Finland's Natura species; Species to be protected urgently (Finnish Environment Institute 2020); OUTDATED Species to be protected urgently (Finnish Environment Institute 2010-2011); Safeguarding Endangered Species in Forestry – Lajiturva Project 2019–2021; OUTDATED Threatened species (NCD 1997/160, Appendix 4 2013/471); OUTDATED Species under strict protection (NCD 1997/160, Appendix 4 2013/471)	
Baltic clam	Macoma balthica	Stable population	LC (2019)		Limecola balthica (Linnaeus, 1758); Macoma baltica (Linnaeus, 1758)
Lagoon cockle	Cerastoderma glaucum	Stable population	LC (2019)		Cardium glaucum; Cardium lamarcki
Copenhagen cockle	Parvicardium hauniense	Stable population	LC (2019)		Cardium hauniense Petersen & Russell, 1971
