Vernacular name	Scientific name	Status in Finland	Red List category in Finland	Regulatory Status	Synonyms
Rough-legged Buzzard	Buteo lagopus	Stable population; BirdLife Category A; Regular breeder	EN (2019)	Threatened species (NCD 2023/1066, Appendix 6); Convention on International Trade in Endangered Species of Wild Flora and Fauna - CITES, Appendix II; EU regulation regarding CITES, Appendix A	
Greater Spotted Eagle	Aquila clanga	Irregular breeder; BirdLife Category A	CR (2019)	Threatened species (NCD 2023/1066, Appendix 6); Species under strict protection (NCD 2023/1066, Appendix 6); Large birds of prey (NCD 2023/9, 73 §); EU Directive on Conservation of Wild Birds Annex I; Convention on International Trade in Endangered Species of Wild Flora and Fauna - CITES, Appendix II; EU regulation regarding CITES, Appendix A; OUTDATED Species to be protected urgently (Finnish Environment Institute 2010-2011); Safeguarding Endangered Species in Forestry – Lajiturva Project 2019–2021; Species used in the automatic procedure for forest use notifications (MKI-OHKE 2023); OUTDATED Threatened species (NCD 1997/160, Appendix 4 2013/471); OUTDATED Species under strict protection (NCD 1997/160, Appendix 4 2013/471)	Clanga clanga (Pallas, 1811)
Lesser Spotted Eagle	Aquila pomarina	BirdLife Category A; Irregular vagrant		Large birds of prey (NCD 2023/9, 73 §)	Clanga pomarina (C.L. Brehm, 1831)
Booted Eagle	Aquila pennata	BirdLife Category A; Irregular vagrant			Hieraeetus pennatus; Aquila pennata; Hieraaetus pennatus (J.F. Gmelin, 1788)
Golden Eagle	Aquila chrysaetos	Stable population; BirdLife Category A; Regular breeder	VU (2019)	Threatened species (NCD 2023/1066, Appendix 6); Large birds of prey (NCD 2023/9, 73 §); EU Directive on Conservation of Wild Birds Annex I; Convention on International Trade in Endangered Species of Wild Flora and Fauna - CITES, Appendix II; EU regulation regarding CITES, Appendix A; OUTDATED Species to be protected urgently (Finnish Environment Institute 2010-2011); Safeguarding Endangered Species in Forestry – Lajiturva Project 2019–2021; OUTDATED Threatened species (NCD 1997/160, Appendix 4 2013/471); OUTDATED Species under strict protection (NCD 1997/160, Appendix 4 2013/471)	
Steppe Eagle	Aquila nipalensis	BirdLife Category A; Irregular vagrant			
Eastern Imperial Eagle	Aquila heliaca	BirdLife Category A; Irregular vagrant			
Osprey	Pandion haliaetus	Stable population; BirdLife Category A; Regular breeder	LC (2019)	Large birds of prey (NCD 2023/9, 73 §); EU Directive on Conservation of Wild Birds Annex I; Convention on International Trade in Endangered Species of Wild Flora and Fauna - CITES, Appendix II; EU regulation regarding CITES, Appendix A; Safeguarding Endangered Species in Forestry – Lajiturva Project 2019–2021	
Lesser Kestrel	Falco naumanni	BirdLife Category A; Irregular vagrant			
Common Kestrel	Falco tinnunculus	Stable population; BirdLife Category A; Regular breeder	LC (2019)	Migratory birds of the EU Birds Directive; Convention on International Trade in Endangered Species of Wild Flora and Fauna - CITES, Appendix II; EU regulation regarding CITES, Appendix A; Regionally Threatened 2020 - 1a Hemiboreal, Åland	
Red-footed Falcon	Falco vespertinus	BirdLife Category A; Irregular vagrant	NA (2019)		
Merlin	Falco columbarius	Stable population; BirdLife Category A; Regular breeder	LC (2019)	EU Directive on Conservation of Wild Birds Annex I; Convention on International Trade in Endangered Species of Wild Flora and Fauna - CITES, Appendix II; EU regulation regarding CITES, Appendix A; Regionally Threatened 2020 - 1a Hemiboreal, Åland; Regionally Threatened 2020 - 1b Hemiboreal, Oak zone; Regionally Threatened 2020 - 2a Southern boreal, Southwestern Finland and Southern Ostrobothnia	
Eurasian Hobby	Falco subbuteo	Stable population; BirdLife Category A; Regular breeder	LC (2019)	Migratory birds of the EU Birds Directive; Convention on International Trade in Endangered Species of Wild Flora and Fauna - CITES, Appendix II; EU regulation regarding CITES, Appendix A	
Eleonora's Falcon	Falco eleonorae	BirdLife Category A; Irregular vagrant			
Saker Falcon	Falco cherrug	BirdLife Category A; Irregular vagrant			
