Vernacular name	Scientific name	Status in Finland	Red List category in Finland	Regulatory Status	Synonyms
Horned Lark	Eremophila alpestris	Irregular breeder; BirdLife Category A	CR (2019)	Threatened species (NCD 2023/1066, Appendix 6); Migratory birds of the EU Birds Directive; OUTDATED Species to be protected urgently (Finnish Environment Institute 2010-2011); OUTDATED Threatened species (NCD 1997/160, Appendix 4 2013/471)	
Sand Martin	Riparia riparia	Stable population; BirdLife Category A; Regular breeder	EN (2019)	Threatened species (NCD 2023/1066, Appendix 6); Species to be protected urgently (Finnish Environment Institute 2020); OUTDATED Species to be protected urgently (Finnish Environment Institute 2010-2011); OUTDATED Threatened species (NCD 1997/160, Appendix 4 2013/471)	
Eurasian Crag Martin	Ptyonoprogne rupestris	BirdLife Category A; Irregular vagrant			Hirundo rupestris
Barn Swallow	Hirundo rustica	Stable population; BirdLife Category A; Regular breeder	VU (2019)	Threatened species (NCD 2023/1066, Appendix 6)	
Common House Martin	Delichon urbicum	Stable population; BirdLife Category A; Regular breeder	EN (2019)	Threatened species (NCD 2023/1066, Appendix 6); Species to be protected urgently (Finnish Environment Institute 2020)	Delichon urbica
Eastern Red-rumped Swallow	Cecropis daurica	BirdLife Category A; Irregular vagrant			Hirundo daurica
European Red-rumped Swallow	Cecropis rufula	BirdLife Category A; Irregular vagrant			Cecropis daurica rufula
Richard's Pipit	Anthus richardi	BirdLife Category A; Irregular vagrant			Anthus novaeseelandiae
Blyth's Pipit	Anthus godlewskii	BirdLife Category A; Irregular vagrant			
Tawny Pipit	Anthus campestris	Irregular breeder; BirdLife Category A	NA (2019)		
Olive-backed Pipit	Anthus hodgsoni	BirdLife Category A; Irregular vagrant			
Tree Pipit	Anthus trivialis	Stable population; BirdLife Category A; Regular breeder	LC (2019)		
Pechora Pipit	Anthus gustavi	BirdLife Category A; Irregular vagrant			
Meadow Pipit	Anthus pratensis	Stable population; BirdLife Category A; Regular breeder	LC (2019)	Regionally Threatened 2020 - 1a Hemiboreal, Åland; Regionally Threatened 2020 - 1b Hemiboreal, Oak zone; Regionally Threatened 2020 - 3a Middle boreal, Ostrobothnia; Regionally Threatened 2020 - 3b Middle boreal, Northern Carelia–Kainuu; Regionally Threatened 2020 - 3c Middle boreal, Southwestern Lapland	
Red-throated Pipit	Anthus cervinus	Stable population; BirdLife Category A; Regular breeder	EN (2019)	Threatened species (NCD 2023/1066, Appendix 6); Migratory birds of the EU Birds Directive; OUTDATED Threatened species (NCD 1997/160, Appendix 4 2013/471)	
Eurasian Rock Pipit	Anthus petrosus	Stable population; BirdLife Category A; Regular breeder	LC (2019)		
Western Yellow Wagtail	Motacilla flava	Stable population; BirdLife Category A; Regular breeder	LC (2019)	Migratory birds of the EU Birds Directive; Regionally Threatened 2020 - 1b Hemiboreal, Oak zone; Regionally Threatened 2020 - 2a Southern boreal, Southwestern Finland and Southern Ostrobothnia; Regionally Threatened 2020 - 2b Southern boreal, Lake district; OUTDATED Threatened species (NCD 1997/160, Appendix 4 2013/471)	
Citrine Wagtail	Motacilla citreola	Stable population; BirdLife Category A; Regular breeder	EN (2019)	Threatened species (NCD 2023/1066, Appendix 6); Migratory birds of the EU Birds Directive; OUTDATED Threatened species (NCD 1997/160, Appendix 4 2013/471)	
Eastern Yellow Wagtail	Motacilla tschutschensis	BirdLife Category A; Irregular vagrant			Motacilla flava tschutschensis J.F. Gmelin, 1789
Grey Wagtail	Motacilla cinerea	Stable population; BirdLife Category A; Regular breeder	VU (2019)	Threatened species (NCD 2023/1066, Appendix 6); Migratory birds of the EU Birds Directive; OUTDATED Threatened species (NCD 1997/160, Appendix 4 2013/471)	
White Wagtail	Motacilla alba	Stable population; BirdLife Category A; Regular breeder	NT (2019)		
Bohemian Waxwing	Bombycilla garrulus	Stable population; BirdLife Category A; Regular breeder	LC (2019)		
White-throated Dipper	Cinclus cinclus	Stable population; BirdLife Category A; Regular breeder	VU (2019)	Threatened species (NCD 2023/1066, Appendix 6); Migratory birds of the EU Birds Directive; Safeguarding Endangered Species in Forestry – Lajiturva Project 2019–2021; OUTDATED Threatened species (NCD 1997/160, Appendix 4 2013/471)	
Eurasian Wren	Troglodytes troglodytes	Stable population; BirdLife Category A; Regular breeder	LC (2019)		
Dunnock	Prunella modularis	Stable population; BirdLife Category A; Regular breeder	LC (2019)		
Siberian Accentor	Prunella montanella	BirdLife Category A; Irregular vagrant			
Black-throated Accentor	Prunella atrogularis	BirdLife Category A; Irregular vagrant			
Alpine Accentor	Prunella collaris	BirdLife Category A; Irregular vagrant			
Rufous-tailed Scrub Robin	Cercotrichas galactotes	BirdLife Category A; Irregular vagrant			
European Robin	Erithacus rubecula	Stable population; BirdLife Category A; Regular breeder	LC (2019)		
Thrush Nightingale	Luscinia luscinia	Stable population; BirdLife Category A; Regular breeder	LC (2019)		
Common Nightingale	Luscinia megarhynchos	BirdLife Category A; Irregular vagrant			
Bluethroat	Luscinia svecica	Stable population; BirdLife Category A; Regular breeder	LC (2019)	EU Directive on Conservation of Wild Birds Annex I; Regionally Threatened 2020 - 4a Northern boreal, Kuusamo district	Luscinia svecicus; Cyanecula svecica (Linnaeus, 1758)
Siberian Rubythroat	Calliope calliope	BirdLife Category A; Irregular vagrant			Erithacus calliope; Luscinia calliope
Red-flanked Bluetail	Tarsiger cyanurus	Stable population; BirdLife Category A; Regular breeder	LC (2019)	Migratory birds of the EU Birds Directive; OUTDATED Threatened species (NCD 1997/160, Appendix 4 2013/471)	
White-throated Irania	Irania gutturalis	BirdLife Category A; Irregular vagrant			
Black Redstart	Phoenicurus ochruros	Stable population; BirdLife Category A; Regular breeder	NT (2019)		
Common Redstart	Phoenicurus phoenicurus	Stable population; BirdLife Category A; Regular breeder	LC (2019)		
Whinchat	Saxicola rubetra	Stable population; BirdLife Category A; Regular breeder	VU (2019)	Threatened species (NCD 2023/1066, Appendix 6)	
Pied Bush Chat	Saxicola caprata	BirdLife Category A; Irregular vagrant			
Siberian Stonechat	Saxicola maurus	Irregular breeder; BirdLife Category A	NA (2019)		
European Stonechat	Saxicola rubicola	BirdLife Category A; Irregular vagrant			
Isabelline Wheatear	Oenanthe isabellina	BirdLife Category A; Irregular vagrant			
Northern Wheatear	Oenanthe oenanthe	Stable population; BirdLife Category A; Regular breeder	LC (2019)	Migratory birds of the EU Birds Directive; Regionally Threatened 2020 - 2a Southern boreal, Southwestern Finland and Southern Ostrobothnia; Regionally Threatened 2020 - 2b Southern boreal, Lake district; OUTDATED Threatened species (NCD 1997/160, Appendix 4 2013/471)	
Pied Wheatear	Oenanthe pleschanka	BirdLife Category A; Irregular vagrant			
Eastern Black-eared Wheatear	Oenanthe melanoleuca	BirdLife Category A; Irregular vagrant			Oenanthe hispanica melanoleuca
Desert Wheatear	Oenanthe deserti	BirdLife Category A; Irregular vagrant			
Common Rock Thrush	Monticola saxatilis	BirdLife Category A; Irregular vagrant			
Blue Rock Thrush	Monticola solitarius	BirdLife Category A; Irregular vagrant			
White's Thrush	Zoothera aurea	BirdLife Category A; Irregular vagrant			
Swainson's Thrush	Catharus ustulatus	BirdLife Category A; Irregular vagrant			
Ring Ouzel	Turdus torquatus	Stable population; BirdLife Category A; Regular breeder	VU (2019)	Threatened species (NCD 2023/1066, Appendix 6); Migratory birds of the EU Birds Directive; OUTDATED Threatened species (NCD 1997/160, Appendix 4 2013/471)	
Common Blackbird	Turdus merula	Stable population; BirdLife Category A; Regular breeder	LC (2019)		
Eyebrowed Thrush	Turdus obscurus	BirdLife Category A; Irregular vagrant			
Naumann's Thrush	Turdus naumanni	BirdLife Category A; Irregular vagrant			
Dusky Thrush	Turdus eunomus	BirdLife Category A; Irregular vagrant			
Black-throated Thrush	Turdus atrogularis	BirdLife Category A; Irregular vagrant			
Fieldfare	Turdus pilaris	Stable population; BirdLife Category A; Regular breeder	LC (2019)	EU Directive on Conservation of Wild Birds Annex II/B; Unprotected animal (Hunting law 1993/615)	
Song Thrush	Turdus philomelos	Stable population; BirdLife Category A; Regular breeder	LC (2019)		
Redwing	Turdus iliacus	Stable population; BirdLife Category A; Regular breeder	LC (2019)		
Mistle Thrush	Turdus viscivorus	Stable population; BirdLife Category A; Regular breeder	LC (2019)		
Pallas's Grasshopper Warbler	Locustella certhiola	BirdLife Category A; Irregular vagrant			
Lanceolated Warbler	Locustella lanceolata	BirdLife Category A; Irregular vagrant			
Common Grasshopper Warbler	Locustella naevia	Stable population; BirdLife Category A; Regular breeder	LC (2019)	Regionally Threatened 2020 - 1a Hemiboreal, Åland; Regionally Threatened 2020 - 3b Middle boreal, Northern Carelia–Kainuu	
River Warbler	Locustella fluviatilis	Stable population; BirdLife Category A; Regular breeder	LC (2019)	Regionally Threatened 2020 - 1a Hemiboreal, Åland	
Savi's Warbler	Locustella luscinioides	Stable population; BirdLife Category A; Regular breeder	EN (2019)	Threatened species (NCD 2023/1066, Appendix 6); OUTDATED Threatened species (NCD 1997/160, Appendix 4 2013/471)	
Thick-billed Warbler	Iduna aedon	BirdLife Category A; Irregular vagrant			Acrocephalus aedon; Arundinax aedon (Pallas, 1776)
Booted Warbler	Iduna caligata	Stable population; BirdLife Category A; Regular breeder	VU (2019)	Threatened species (NCD 2023/1066, Appendix 6); Migratory birds of the EU Birds Directive; OUTDATED Threatened species (NCD 1997/160, Appendix 4 2013/471)	Hippolais caligata
Sykes's Warbler	Iduna rama	BirdLife Category A; Irregular vagrant			
Eastern Olivaceous Warbler	Iduna pallida	BirdLife Category A; Irregular vagrant			Hippolais pallida
Icterine Warbler	Hippolais icterina	Stable population; BirdLife Category A; Regular breeder	LC (2019)		
Aquatic Warbler	Acrocephalus paludicola	BirdLife Category A; Irregular vagrant			
Sedge Warbler	Acrocephalus schoenobaenus	Stable population; BirdLife Category A; Regular breeder	NT (2019)	Regionally Threatened 2020 - 4a Northern boreal, Kuusamo district; Regionally Threatened 2020 - 4b Northern boreal, North Ostrobothnia; Regionally Threatened 2020 - 4c Northern boreal, Forest Lapland; Regionally Threatened 2020 - 4d Northern boreal, Fjeld Lapland	
Paddyfield Warbler	Acrocephalus agricola	BirdLife Category A; Irregular vagrant			
Blyth's Reed Warbler	Acrocephalus dumetorum	Stable population; BirdLife Category A; Regular breeder	LC (2019)		
Marsh Warbler	Acrocephalus palustris	Stable population; BirdLife Category A; Regular breeder	LC (2019)	Regionally Threatened 2020 - 3b Middle boreal, Northern Carelia–Kainuu	
Common Reed Warbler	Acrocephalus scirpaceus	Stable population; BirdLife Category A; Regular breeder	LC (2019)	Regionally Threatened 2020 - 3a Middle boreal, Ostrobothnia	
Great Reed Warbler	Acrocephalus arundinaceus	Stable population; BirdLife Category A; Regular breeder	VU (2019)	Threatened species (NCD 2023/1066, Appendix 6); Migratory birds of the EU Birds Directive; OUTDATED Threatened species (NCD 1997/160, Appendix 4 2013/471)	
Dartford Warbler	Sylvia undata	BirdLife Category A; Irregular vagrant			Curruca undata (Boddaert, 1783)
Subalpine Warbler	Sylvia cantillans	BirdLife Category A; Irregular vagrant			Curruca cantillans (Pallas, 1764)
Sardinian Warbler	Sylvia melanocephala	BirdLife Category A; Irregular vagrant			Curruca melanocephala (J.F. Gmelin, 1789)
Rüppell's Warbler	Sylvia ruppeli	BirdLife Category A; Irregular vagrant			Sylvia rueppelli; Curruca ruppeli (Temminck, 1823)
Asian Desert Warbler	Sylvia nana	BirdLife Category A; Irregular vagrant			Curruca nana Hemprich & Ehrenberg, 1833
Barred Warbler	Sylvia nisoria	Stable population; BirdLife Category A; Regular breeder	VU (2019)	Threatened species (NCD 2023/1066, Appendix 6); EU Directive on Conservation of Wild Birds Annex I; Species to be protected urgently (Finnish Environment Institute 2020); OUTDATED Species to be protected urgently (Finnish Environment Institute 2010-2011); OUTDATED Threatened species (NCD 1997/160, Appendix 4 2013/471)	Curruca nisoria (Bechstein, 1792)
Lesser Whitethroat	Sylvia curruca	Stable population; BirdLife Category A; Regular breeder	LC (2019)	Regionally Threatened 2020 - 4c Northern boreal, Forest Lapland	Curruca curruca (Linnaeus, 1758)
Common Whitethroat	Sylvia communis	Stable population; BirdLife Category A; Regular breeder	NT (2019)	Regionally Threatened 2020 - 4b Northern boreal, North Ostrobothnia	Curruca communis (Latham, 1787)
Garden Warbler	Sylvia borin	Stable population; BirdLife Category A; Regular breeder	LC (2019)	Regionally Threatened 2020 - 4c Northern boreal, Forest Lapland; Regionally Threatened 2020 - 4d Northern boreal, Fjeld Lapland	
Eurasian Blackcap	Sylvia atricapilla	Stable population; BirdLife Category A; Regular breeder	LC (2019)		
Eastern Crowned Warbler	Phylloscopus coronatus	BirdLife Category A; Irregular vagrant			Seicercus coronatus (Temminck & Schlegel, 1847)
Green Warbler	Phylloscopus nitidus	BirdLife Category A; Irregular vagrant			Seicercus nitidus (Blyth, 1843)
Two-barred Warbler	Phylloscopus plumbeitarsus	BirdLife Category A; Irregular vagrant			Seicercus plumbeitarsus (Swinhoe, 1861)
Greenish Warbler	Phylloscopus trochiloides	Stable population; BirdLife Category A; Regular breeder	LC (2019)	Migratory birds of the EU Birds Directive	Seicercus trochiloides (Sundevall, 1837)
Arctic Warbler	Phylloscopus borealis	Stable population; BirdLife Category A; Regular breeder	EN (2019)	Threatened species (NCD 2023/1066, Appendix 6); Migratory birds of the EU Birds Directive; Safeguarding Endangered Species in Forestry – Lajiturva Project 2019–2021	Seicercus borealis (J.H. Blasius, 1858)
Pallas's Leaf Warbler	Phylloscopus proregulus	BirdLife Category A; Irregular vagrant			Abrornis proregulus (Pallas, 1811)
Yellow-browed Warbler	Phylloscopus inornatus	Regular vagrant; BirdLife Category A			Abrornis inornatus (Blyth, 1842)
Hume's Leaf Warbler	Phylloscopus humei	BirdLife Category A; Irregular vagrant			Abrornis humei (W.E. Brooks, 1878)
Radde's Warbler	Phylloscopus schwarzi	BirdLife Category A; Irregular vagrant			
Dusky Warbler	Phylloscopus fuscatus	BirdLife Category A; Irregular vagrant			
Western Bonelli's Warbler	Phylloscopus bonelli	BirdLife Category A; Irregular vagrant			Rhadina bonelli (Vieillot, 1819)
Eastern Bonelli's Warbler	Phylloscopus orientalis	BirdLife Category A; Irregular vagrant			Phylloscopus orientalis; Rhadina orientalis (C.L. Brehm, 1855)
Wood Warbler	Phylloscopus sibilatrix	Stable population; BirdLife Category A; Regular breeder	LC (2019)	Regionally Threatened 2020 - 4c Northern boreal, Forest Lapland	Rhadina sibilatrix (Bechstein, 1793)
Common Chiffchaff	Phylloscopus collybita	Stable population; BirdLife Category A; Regular breeder	LC (2019)		Phylloscopus collybitus
Iberian Chiffchaff	Phylloscopus ibericus	BirdLife Category A; Irregular vagrant			
Willow Warbler	Phylloscopus trochilus	Stable population; BirdLife Category A; Regular breeder	LC (2019)		
Kamchatka Leaf Warbler	Phylloscopus examinandus	BirdLife Category A; Irregular vagrant			
Goldcrest	Regulus regulus	Stable population; BirdLife Category A; Regular breeder	LC (2019)		
Common Firecrest	Regulus ignicapilla	Irregular breeder; BirdLife Category A			Regulus ignicapillus
Spotted Flycatcher	Muscicapa striata	Stable population; BirdLife Category A; Regular breeder	LC (2019)		
Red-breasted Flycatcher	Ficedula parva	Stable population; BirdLife Category A; Regular breeder	LC (2019)	EU Directive on Conservation of Wild Birds Annex I	
Taiga Flycatcher	Ficedula albicilla	BirdLife Category A; Irregular vagrant			
Collared Flycatcher	Ficedula albicollis	BirdLife Category A; Irregular vagrant			
European Pied Flycatcher	Ficedula hypoleuca	Stable population; BirdLife Category A; Regular breeder	LC (2019)		
Bearded Reedling	Panurus biarmicus	Stable population; BirdLife Category A; Regular breeder	VU (2019)	Threatened species (NCD 2023/1066, Appendix 6)	
Long-tailed Tit	Aegithalos caudatus	Stable population; BirdLife Category A; Regular breeder	LC (2019)		
Azure Tit	Cyanistes cyanus	BirdLife Category A; Irregular vagrant	NA (2019)		Parus cyanus
Eurasian Blue Tit	Cyanistes caeruleus	Stable population; BirdLife Category A; Regular breeder	LC (2019)		Parus caeruleus
Great Tit	Parus major	Stable population; BirdLife Category A; Regular breeder	LC (2019)		
Coal Tit	Periparus ater	Stable population; BirdLife Category A; Regular breeder	LC (2019)		Parus ater
European Crested Tit	Lophophanes cristatus	Stable population; BirdLife Category A; Regular breeder	VU (2019)	Threatened species (NCD 2023/1066, Appendix 6); Safeguarding Endangered Species in Forestry – Lajiturva Project 2019–2021	Parus cristatus
Marsh Tit	Poecile palustris	BirdLife Category A; Irregular vagrant			Parus palustris
Willow Tit	Poecile montanus	Stable population; BirdLife Category A; Regular breeder	EN (2019)	Threatened species (NCD 2023/1066, Appendix 6); Safeguarding Endangered Species in Forestry – Lajiturva Project 2019–2021	Parus montanus
Siberian Tit	Poecile cinctus	Stable population; BirdLife Category A; Regular breeder	NT (2019)	Safeguarding Endangered Species in Forestry – Lajiturva Project 2019–2021; Regionally Threatened 2020 - 3b Middle boreal, Northern Carelia–Kainuu; Regionally Threatened 2020 - 3c Middle boreal, Southwestern Lapland	Parus cinctus
Eurasian Nuthatch	Sitta europaea	Stable population; BirdLife Category A; Regular breeder	VU (2019)	Threatened species (NCD 2023/1066, Appendix 6); Safeguarding Endangered Species in Forestry – Lajiturva Project 2019–2021	
Eurasian Treecreeper	Certhia familiaris	Stable population; BirdLife Category A; Regular breeder	LC (2019)	Regionally Threatened 2020 - 3c Middle boreal, Southwestern Lapland	
Eurasian Penduline Tit	Remiz pendulinus	Irregular breeder; BirdLife Category A	EN (2019)	Threatened species (NCD 2023/1066, Appendix 6); Migratory birds of the EU Birds Directive; OUTDATED Threatened species (NCD 1997/160, Appendix 4 2013/471)	
Eurasian Golden Oriole	Oriolus oriolus	Stable population; BirdLife Category A; Regular breeder	EN (2019)	Threatened species (NCD 2023/1066, Appendix 6); Safeguarding Endangered Species in Forestry – Lajiturva Project 2019–2021	
Brown Shrike	Lanius cristatus	BirdLife Category A; Irregular vagrant			
Isabelline Shrike	Lanius isabellinus	BirdLife Category A; Irregular vagrant			
Red-backed Shrike	Lanius collurio	Stable population; BirdLife Category A; Regular breeder	LC (2019)	EU Directive on Conservation of Wild Birds Annex I; Regionally Threatened 2020 - 3b Middle boreal, Northern Carelia–Kainuu; Regionally Threatened 2020 - 3c Middle boreal, Southwestern Lapland; Regionally Threatened 2020 - 4a Northern boreal, Kuusamo district; Regionally Threatened 2020 - 4b Northern boreal, North Ostrobothnia	
Lesser Grey Shrike	Lanius minor	BirdLife Category A; Irregular vagrant			
Great Grey Shrike	Lanius excubitor	Stable population; BirdLife Category A; Regular breeder	LC (2019)		
Woodchat Shrike	Lanius senator	BirdLife Category A; Irregular vagrant			
Masked Shrike	Lanius nubicus	BirdLife Category A; Irregular vagrant			
Red-tailed Shrike	Lanius phoenicuroides				
Northern Shrike	Lanius borealis	BirdLife Category A			
Eurasian Jay	Garrulus glandarius	Stable population; BirdLife Category A; Regular breeder	NT (2019)	Safeguarding Endangered Species in Forestry – Lajiturva Project 2019–2021; Regionally Threatened 2020 - 4c Northern boreal, Forest Lapland	
Siberian Jay	Perisoreus infaustus	Stable population; BirdLife Category A; Regular breeder	NT (2019)	Safeguarding Endangered Species in Forestry – Lajiturva Project 2019–2021; Regionally Threatened 2020 - 2a Southern boreal, Southwestern Finland and Southern Ostrobothnia; Regionally Threatened 2020 - 2b Southern boreal, Lake district; Regionally Threatened 2020 - 3a Middle boreal, Ostrobothnia; Regionally Threatened 2020 - 3b Middle boreal, Northern Carelia–Kainuu	
Eurasian Magpie	Pica pica	Stable population; BirdLife Category A; Regular breeder	NT (2019)	EU Directive on Conservation of Wild Birds Annex II/B; Unprotected animal (Hunting law 1993/615)	
Spotted Nutcracker	Nucifraga caryocatactes	Stable population; BirdLife Category A; Regular breeder	LC (2019)	Regionally Threatened 2020 - 3b Middle boreal, Northern Carelia–Kainuu; Regionally Threatened 2020 - 4b Northern boreal, North Ostrobothnia	
Western Jackdaw	Corvus monedula	Stable population; BirdLife Category A; Regular breeder	LC (2019)	EU Directive on Conservation of Wild Birds Annex II/B; Unprotected animal (Hunting law 1993/615)	
Daurian Jackdaw	Corvus dauuricus	BirdLife Category B; Irregular vagrant			
Rook	Corvus frugilegus	Stable population; BirdLife Category A; Regular breeder	LC (2019)		
Carrion Crow	Corvus corone	Stable population; BirdLife Category A; Regular breeder	LC (2019)	EU Directive on Conservation of Wild Birds Annex II/B	
Northern Raven	Corvus corax	Stable population; BirdLife Category A; Regular breeder	LC (2019)	Unprotected animal (Hunting law 1993/615)	
Common Starling	Sturnus vulgaris	Stable population; BirdLife Category A; Regular breeder	LC (2019)		
Rosy Starling	Pastor roseus	BirdLife Category A; Irregular vagrant			Sturnus roseus
House Sparrow	Passer domesticus	Stable population; BirdLife Category A; Regular breeder	EN (2019)	Threatened species (NCD 2023/1066, Appendix 6)	
Spanish Sparrow	Passer hispaniolensis	BirdLife Category A; Irregular vagrant			
Eurasian Tree Sparrow	Passer montanus	Stable population; BirdLife Category A; Regular breeder	LC (2019)		
Common Chaffinch	Fringilla coelebs	Stable population; BirdLife Category A; Regular breeder	LC (2019)		
Brambling	Fringilla montifringilla	Stable population; BirdLife Category A; Regular breeder	NT (2019)	Safeguarding Endangered Species in Forestry – Lajiturva Project 2019–2021; Regionally Threatened 2020 - 1b Hemiboreal, Oak zone	
European Serin	Serinus serinus	Irregular breeder; BirdLife Category A	NA (2019)		
Citril Finch	Serinus citrinella	BirdLife Category A; Irregular vagrant			Carduelis citrinella (Pallas, 1764)
European Greenfinch	Carduelis chloris	Stable population; BirdLife Category A; Regular breeder	EN (2019)	Threatened species (NCD 2023/1066, Appendix 6)	Chloris chloris (Linnaeus, 1758)
European Goldfinch	Carduelis carduelis	Stable population; BirdLife Category A; Regular breeder	LC (2019)		
Eurasian Siskin	Carduelis spinus	Stable population; BirdLife Category A; Regular breeder	LC (2019)		Spinus spinus (Linnaeus, 1758)
Common Linnet	Carduelis cannabina	Stable population; BirdLife Category A; Regular breeder	LC (2019)		Linaria cannabina (Linnaeus, 1758)
Twite	Carduelis flavirostris	Stable population; BirdLife Category A; Regular breeder	CR (2019)	Threatened species (NCD 2023/1066, Appendix 6); Migratory birds of the EU Birds Directive; OUTDATED Threatened species (NCD 1997/160, Appendix 4 2013/471)	Linaria flavirostris (Linnaeus, 1758)
Two-barred Crossbill	Loxia leucoptera	Stable population; BirdLife Category A; Regular breeder	LC (2019)		
Red Crossbill	Loxia curvirostra	Stable population; BirdLife Category A; Regular breeder	LC (2019)		
Parrot Crossbill	Loxia pytyopsittacus	Stable population; BirdLife Category A; Regular breeder	LC (2019)		
Common Redpoll	Acanthis flammea	Stable population; BirdLife Category A; Regular breeder	LC (2019)		Carduelis flammea (Linnaeus, 1758)
Common Rosefinch	Carpodacus erythrinus	Stable population; BirdLife Category A; Regular breeder	NT (2019)	Regionally Threatened 2020 - 4a Northern boreal, Kuusamo district; Regionally Threatened 2020 - 4b Northern boreal, North Ostrobothnia	Erythrina erythrina (Pallas, 1770)
Trumpeter Finch	Bucanetes githagineus	BirdLife Category A; Irregular vagrant			Rhodopechys githaginea
Pine Grosbeak	Pinicola enucleator	Stable population; BirdLife Category A; Regular breeder	LC (2019)	Regionally Threatened 2020 - 3b Middle boreal, Northern Carelia–Kainuu	
Eurasian Bullfinch	Pyrrhula pyrrhula	Stable population; BirdLife Category A; Regular breeder	LC (2019)		
Hawfinch	Coccothraustes coccothraustes	Stable population; BirdLife Category A; Regular breeder	LC (2019)		
Blackpoll Warbler	Setophaga striata	BirdLife Category A; Irregular vagrant			Dendroica striata
Fox Sparrow	Passerella iliaca	BirdLife Category A; Irregular vagrant			
White-throated Sparrow	Zonotrichia albicollis	BirdLife Category A; Irregular vagrant			
Lapland Longspur	Calcarius lapponicus	Stable population; BirdLife Category A; Regular breeder	NT (2019)	Regionally Threatened 2020 - 4c Northern boreal, Forest Lapland	
Snow Bunting	Plectrophenax nivalis	Stable population; BirdLife Category A; Regular breeder	VU (2019)	Threatened species (NCD 2023/1066, Appendix 6)	
Black-faced Bunting	Emberiza spodocephala	BirdLife Category A; Irregular vagrant			Schoeniclus spodocephala (Pallas, 1776)
Pine Bunting	Emberiza leucocephalos	BirdLife Category A; Irregular vagrant			Emberiza leucocephala
Yellowhammer	Emberiza citrinella	Stable population; BirdLife Category A; Regular breeder	LC (2019)		
Ortolan Bunting	Emberiza hortulana	Stable population; BirdLife Category A; Regular breeder	CR (2019)	Threatened species (NCD 2023/1066, Appendix 6); EU Directive on Conservation of Wild Birds Annex I; Species to be protected urgently (Finnish Environment Institute 2020); OUTDATED Species to be protected urgently (Finnish Environment Institute 2010-2011); OUTDATED Threatened species (NCD 1997/160, Appendix 4 2013/471)	
Grey-necked Bunting	Emberiza buchanani	BirdLife Category A; Irregular vagrant			
Cretzschmar's Bunting	Emberiza caesia	BirdLife Category A; Irregular vagrant			
Rustic Bunting	Emberiza rustica	Stable population; BirdLife Category A; Regular breeder	NT (2019)	Migratory birds of the EU Birds Directive; OUTDATED Species to be protected urgently (Finnish Environment Institute 2010-2011); Safeguarding Endangered Species in Forestry – Lajiturva Project 2019–2021; Regionally Threatened 2020 - 1b Hemiboreal, Oak zone; Regionally Threatened 2020 - 2a Southern boreal, Southwestern Finland and Southern Ostrobothnia; Regionally Threatened 2020 - 2b Southern boreal, Lake district; Regionally Threatened 2020 - 3a Middle boreal, Ostrobothnia; OUTDATED Threatened species (NCD 1997/160, Appendix 4 2013/471)	Schoeniclus rusticus (Pallas, 1776)
Little Bunting	Emberiza pusilla	Stable population; BirdLife Category A; Regular breeder	LC (2019)	Regionally Threatened 2020 - 3a Middle boreal, Ostrobothnia; Regionally Threatened 2020 - 4d Northern boreal, Fjeld Lapland	Schoeniclus pusillus (Pallas, 1776)
Chestnut Bunting	Emberiza rutila	BirdLife Category A; Irregular vagrant			Schoeniclus rutilus (Pallas, 1776)
Yellow-breasted Bunting	Emberiza aureola	BirdLife Category A; Irregular vagrant	RE (2019)	Migratory birds of the EU Birds Directive; OUTDATED Species to be protected urgently (Finnish Environment Institute 2010-2011); OUTDATED Threatened species (NCD 1997/160, Appendix 4 2013/471); OUTDATED Species under strict protection (NCD 1997/160, Appendix 4 2013/471)	Schoeniclus aureolus (Pallas, 1773)
Common Reed Bunting	Emberiza schoeniclus	Stable population; BirdLife Category A; Regular breeder	VU (2019)	Threatened species (NCD 2023/1066, Appendix 6)	Schoeniclus schoeniclus (Linnaeus, 1758)
Pallas's Reed Bunting	Emberiza pallasi	BirdLife Category A; Irregular vagrant			Schoeniclus pallasi (Cabanis, 1851)
Red-headed Bunting	Emberiza bruniceps	BirdLife Category A; Irregular vagrant			Granativora bruniceps (von Brandt, 1841)
Black-headed Bunting	Emberiza melanocephala	BirdLife Category A; Irregular vagrant			Granativora melanocephala (Scopoli, 1769)
Corn Bunting	Emberiza calandra	BirdLife Category A; Irregular vagrant			Miliaria calandra
Yellow-browed Bunting	Emberiza chrysophrys	BirdLife Category A; Irregular vagrant			Schoeniclus chrysophrys (Pallas, 1776)
