Vernacular name	Scientific name	Status in Finland	Red List category in Finland	Regulatory Status	Synonyms
piikkisukeltajasurviainen	Baetis rhodani	Stable population	LC (2019)		
tundrasukeltajasurviainen	Baetis bundyae		DD (2019)		
kirjosukeltajasurviainen	Baetis fuscatus	Stable population	LC (2019)		
pyörösukeltajasurviainen	Baetis subalpinus	Stable population	LC (2019)		
hammassukeltajasurviainen	Baetis vernus	Stable population	LC (2019)		
köngässurviainen	Acentrella lapponica	Stable population	LC (2019)		Acentrella lapponica; Baetis lapponicus (Bengtsson, 1912)
sirppisukkulasurviainen	Nigrobaetis digitatus	Stable population	LC (2019)		Baetis digitatus Bengtsson, 1912
tummasukkulasurviainen	Nigrobaetis niger	Stable population	LC (2019)		Baetis niger (Linnaeus, 1761)
suttusurviainen	Alainites muticus	Stable population	LC (2019)		Baetis muticus (Linnaeus, 1758)
petosurviainen	Raptobaetopus tenellus	Stable population	CR (2019)	Threatened species (NCD 2023/1066, Appendix 6); Species under strict protection (NCD 2023/1066, Appendix 6); Species to be protected urgently (Finnish Environment Institute 2020); OUTDATED Threatened species (NCD 1997/160, Appendix 4 2013/471)	Baetopus tenellus (Albarda, 1878)
hentosurviainen	Centroptilum luteolum	Stable population	LC (2019)		
	Cloeon dipterum		NE (2019)		
	Cloeon inscriptum		NE (2019)		
	Cloeon praetextum		NE (2019)		
	Cloeon simile		NE (2019)		
keijusurviainen	Procloeon bifidum	Stable population	LC (2019)		
siiviläsurviainen	Arthroplea congener	Stable population	LC (2019)		
pikkuvaakasurviainen	Nixe joernensis	Stable population	LC (2019)		Afghanurus joernensis; Paracinygmula joernensis (Bengtsson, 1909)
pohjanlaakasurviainen	Heptagenia dalecarlica	Stable population	LC (2019)		
juovalaakasurviainen	Heptagenia flava	Stable population	VU (2019)	Threatened species (NCD 2023/1066, Appendix 6); OUTDATED Threatened species (NCD 1997/160, Appendix 4 2013/471)	
keltalaakasurviainen	Heptagenia sulphurea	Stable population	LC (2019)		
järvivaakasurviainen	Kageronia fuscogrisea	Stable population	LC (2019)		Heptagenia fuscogrisea (Retzius, 1783)
taigavaakasurviainen	Kageronia orbiticola	Stable population	LC (2019)		
tummanyhäsurviainen	Habrophlebia fusca	Stable population	CR (2019)	Threatened species (NCD 2023/1066, Appendix 6); Species under strict protection (NCD 2023/1066, Appendix 6); Species to be protected urgently (Finnish Environment Institute 2020); Safeguarding Endangered Species in Forestry – Lajiturva Project 2019–2021; Species used in the automatic procedure for forest use notifications (MKI-OHKE 2023); OUTDATED Threatened species (NCD 1997/160, Appendix 4 2013/471); OUTDATED Species under strict protection (NCD 1997/160, Appendix 4 2013/471)	
vaaleanyhäsurviainen	Habrophlebia lauta	Stable population	LC (2019)		
reunuskevätsurviainen	Leptophlebia marginata	Stable population	LC (2019)		
pikkukevätsurviainen	Leptophlebia vespertina	Stable population	LC (2019)		
suoropurosurviainen	Paraleptophlebia cincta	Stable population	LC (2019)		
koukkupurosurviainen	Paraleptophlebia strandii	Stable population	LC (2019)		
isopurosurviainen	Paraleptophlebia submarginata	Stable population	LC (2019)		
lovipurosurviainen	Paraleptophlebia werneri	Stable population	NT (2019)	OUTDATED Threatened species (NCD 1997/160, Appendix 4 2013/471); OUTDATED Species under strict protection (NCD 1997/160, Appendix 4 2013/471)	
vaaleasuursurviainen	Ephemera danica	Stable population	LC (2019)		
viirusuursurviainen	Ephemera lineata	Stable population	VU (2019)	Threatened species (NCD 2023/1066, Appendix 6); OUTDATED Threatened species (NCD 1997/160, Appendix 4 2013/471)	
isosurviainen	Ephemera vulgata	Stable population	LC (2019)		
keltasurviainen	Potamanthus luteus	Stable population	NT (2019)		
raitaokasurviainen	Ephemerella aurivillii	Stable population	LC (2019)		Ephemerella aroni
pyöröokasurviainen	Ephemerella mucronata	Stable population	LC (2019)		
piikkiokasurviainen	Serratella ignita	Stable population	LC (2019)		Ephemerella ignita (Poda, 1761)
karjalanokasurviainen	Eurylophella karelica				
jokisurviainen	Brachycercus harrisellus	Stable population	VU (2019)	Threatened species (NCD 2023/1066, Appendix 6); OUTDATED Threatened species (NCD 1997/160, Appendix 4 2013/471)	
iltapikkusurviainen	Caenis horaria	Stable population	LC (2019)		
yöpikkusurviainen	Caenis lactea	Stable population	LC (2019)		
lovipikkusurviainen	Caenis luctuosa	Stable population	LC (2019)		
kääpiöpikkusurviainen	Caenis rivulorum	Stable population	LC (2019)		
etelänpikkusurviainen	Caenis robusta	Stable population	LC (2019)		
isopihtihäntä	Forficula auricularia	Stable population	LC (2019)		
pensaspihtihäntä	Apterygida albipennis	Stable population	LC (2019)		Apterygida media (Hagenbach, 1822)
pikkupihtihäntä	Labia minor	Stable population	LC (2019)		
hankikorri	Taeniopteryx nebulosa	Stable population	LC (2019)		
vantaankorri	Rhabdiopteryx acuminata	Stable population	EN (2019)	Threatened species (NCD 2023/1066, Appendix 6); Species under strict protection (NCD 2023/1066, Appendix 6); Safeguarding Endangered Species in Forestry – Lajiturva Project 2019–2021; Species used in the automatic procedure for forest use notifications (MKI-OHKE 2023); OUTDATED Threatened species (NCD 1997/160, Appendix 4 2013/471); OUTDATED Species under strict protection (NCD 1997/160, Appendix 4 2013/471)	
rantusiipikorri	Brachyptera risi	Stable population	LC (2019)	OUTDATED Threatened species (NCD 1997/160, Appendix 4 2013/471)	
hallakorri	Leuctra digitata	Stable population	LC (2019)		
routakorri	Leuctra fusca	Stable population	LC (2019)		
suvihoikkakorri	Leuctra hippopus	Stable population	LC (2019)		
purohoikkakorri	Leuctra nigra	Stable population	LC (2019)		
kirsikorri	Capnia atra	Stable population	LC (2019)		
	Capnia pygmaea	Stable population	LC (2019)		
	Capnia vidua	Stable population	DD (2019)		
	Capnopsis schilleri	Stable population	LC (2019)		
jokinuhrukorri	Amphinemura borealis	Stable population	LC (2019)		
lapinnuhrukorri	Amphinemura palmeni	Stable population	LC (2019)		Amphinemura linda (Ricker, 1952); Amphinemura norvegica D. Tobias, 1973
puronuhrukorri	Amphinemura standfussi	Stable population	LC (2019)		
nuhrukorri	Amphinemura sulcicollis	Stable population	LC (2019)		
idänpurokorri	Protonemura intricata	Stable population	LC (2019)		
purokorri	Protonemura meyeri	Stable population	LC (2019)		
kalotinkoipikorri	Nemoura arctica	Stable population	LC (2019)		
keväänkoipikorri	Nemoura avicularis	Stable population	LC (2019)		
jokapaikankorri	Nemoura cinerea	Stable population	LC (2019)		
etelänkoipikorri	Nemoura dubitans	Stable population	EN (2019)	Threatened species (NCD 2023/1066, Appendix 6); Species under strict protection (NCD 2023/1066, Appendix 6); Safeguarding Endangered Species in Forestry – Lajiturva Project 2019–2021; Species used in the automatic procedure for forest use notifications (MKI-OHKE 2023); OUTDATED Threatened species (NCD 1997/160, Appendix 4 2013/471); OUTDATED Species under strict protection (NCD 1997/160, Appendix 4 2013/471)	
metsänkoipikorri	Nemoura flexuosa	Stable population	LC (2019)		
lapinkoipikorri	Nemoura sahlbergi	Stable population	LC (2019)		
ruijankoipikorri	Nemoura viki	Stable population	LC (2019)		
lähdekorri	Nemurella pictetii	Stable population	LC (2019)		
jaurikorri	Arcynopteryx dichroa	Stable population	LC (2019)		Dictyopteryx compacta McLachlan, 1872
täpläkirjokorri	Diura bicaudata	Stable population	LC (2019)		
	Diura nanseni	Stable population	LC (2019)		
pohjankorri	Isogenus nubecula	Stable population	LC (2019)		
vähäkirjokorri	Isoperla difformis	Stable population	LC (2019)		
	Isoperla grammatica	Stable population	LC (2019)		
	Isoperla obscura	Stable population	LC (2019)		
jymykorri	Dinocras cephalotes	Stable population	NT (2019)	OUTDATED Threatened species (NCD 1997/160, Appendix 4 2013/471)	
ruskokalvaskorri	Isoptena serricornis	Stable population	LC (2019)		
raitakalvaskorri	Siphonoperla burmeisteri	Stable population	LC (2019)		
keltakorri	Xanthoperla apicalis	Stable population	LC (2019)		
kaislahepokatti	Conocephalus dorsalis	Stable population	LC (2019)		
koonihepokatti	Conocephalus fuscus	Very rare			
lehtohepokatti	Tettigonia viridissima	Stable population	LC (2019)		
idänhepokatti	Tettigonia cantans	Stable population	LC (2019)		
niittyhepokatti	Decticus verrucivorus	Stable population	LC (2019)		
kanervatöpökatti	Metrioptera brachyptera	Stable population	LC (2019)		
heinätöpökatti	Roeseliana roeselii	Stable population	LC (2019)		Metrioptera roeselii (Hagenbach, 1822)
